,id,publishTime,duration_seconds,viewCount,likeCount,contrast,hue,saturation,brightness
0,UH2Sm0Wj3Dw,2019-04-23 07:00:04+00:00,198,194234420,619551,56.651,162,89,0
1,KEZp5_DgABA,2019-08-06 07:00:02+00:00,203,245733504,529211,66.868,62,136,0
2,Vtos9gw1HJI,2018-07-20 07:00:04+00:00,155,1686931439,3596979,59.039,122,128,0
3,uI05ZB78-vw,2018-08-24 07:00:10+00:00,151,306549270,706582,57.557,109,113,0
4,e_04ZrNroTo,2018-05-24 07:00:02+00:00,229,3425187416,10152918,63.486,154,118,0
5,RvgnuPL9x-s,2018-09-25 07:00:02+00:00,292,487974611,1047674,52.864,130,132,0
6,uiwOgoi3E_w,2019-09-03 07:00:05+00:00,125,241315933,980461,59.605,92,133,0
7,WRVsOCh907o,2018-05-02 07:00:01+00:00,173,4767631669,12598952,59.775,135,75,0
8,ohHYABXMqUQ,2018-08-10 07:00:06+00:00,248,2713875178,6037700,58.51,161,112,0
9,Oq61TxejZ5g,2019-01-29 08:00:05+00:00,191,672185689,2130163,66.548,129,132,0
10,vo8HZ6cMsO4,2019-05-23 07:00:05+00:00,207,214899007,577891,63.894,125,118,0
11,WdnOnpXZWCs,2019-03-05 14:27:35+00:00,203,180095457,239448,54.252,139,109,0
12,_Tr9Ncoo-yw,2018-02-28 15:40:54+00:00,169,583325066,1628961,54.846,159,133,0
13,YzXi5HpgYGc,2017-12-26 08:00:03+00:00,156,812406485,2050270,62.313,118,118,0
14,NGf--TVrc4g,2019-03-12 07:00:03+00:00,193,233729097,636874,58.484,149,114,0
15,2E0hHjSwdW4,2018-02-21 08:00:01+00:00,181,723885401,2293558,54.285,136,124,0
16,fsQVfQt0HOk,2018-10-16 07:00:03+00:00,164,938221458,2520635,57.254,162,112,0
17,pUu0FWlMpgk,2018-05-08 07:00:05+00:00,155,827252302,1635910,51.946,157,153,0
18,020g-0hhCAU,2017-11-21 08:00:01+00:00,145,1971867671,4825203,61.146,180,95,0
19,n38kGst16sI,2017-12-06 08:00:02+00:00,196,1552589500,4870257,79.508,36,155,0
20,HvNdJ2RCReg,2018-10-02 07:00:03+00:00,176,923751983,2528638,56.653,137,111,0
