Regiões,2010_hec_k,2010_%,2015_hec_k,2015_%
ALTO MINHO,23.62,34.90984333431866,25.45,35.4
ALTO TÂMEGA,0.85,1.2454212454212454,0.97,1.4
ÁREA METROPOLITANA DO PORTO,67.69,81.42668110188862,63.78,76.8
AVE,16.34,37.39986266880293,18.38,40.7
CÁVADO,17.4,45.38341158059468,19.0,47.1
DOURO,2.68,3.920994879297733,2.68,3.8
TÂMEGA E SOUSA,25.08,43.84615384615384,29.63,50.4
TERRAS DE TRÁS OS MONTES,4.68,3.6648394675019578,4.23,2.9
BEIRA BAIXA,53.48,32.842053549496434,65.24,35.1
BEIRAS E SERRA DA ESTRELA,7.02,6.867540598708666,7.15,6.4
MÉDIO TEJO,66.73,43.70578988734609,71.04,46.2
OESTE,35.67,58.07554542494301,36.48,59.1
REGIÃO DE AVEIRO,53.96,67.29857819905213,56.62,70.3
REGIÃO DE COIMBRA,109.27,47.8582690960056,119.58,51.3
REGIÃO DE LEIRIA,43.58,33.647313156269306,50.13,39.2
VISEU DÃO LAFÕES,31.13,22.93186003683241,33.5,24.1
ÁREA METROPOLITANA DE LISBOA,12.92,20.18119337706967,12.52,18.9
ALENTEJO CENTRAL,24.63,7.228809579713549,21.78,6.4
ALENTEJO LITORAL,56.72,19.110512129380062,53.92,18.5
ALTO ALENTEJO,46.12,17.47102053185847,43.59,17.1
BAIXO ALENTEJO,12.6,5.244973566998293,12.3,5.0
LEZÍRIA DO TEJO,69.51,33.32055030918939,68.01,33.2
ALGARVE,29.13,20.469397793549295,29.03,20.0
