Regiões,Especie,2010_hec_k,2010_%,2015_hec_k,2015_%
ALTO MINHO,Pinheiro0bravo,23.9,35.3236772095773,24.28,33.8
ALTO MINHO,Eucaliptos,23.62,34.90984333431866,25.45,35.4
ALTO MINHO,Sobreiro,0.1,0.14779781259237365,0.13,0.2
ALTO MINHO,Azinheira,0.0,0.0,0.0,0.0
ALTO MINHO,Carvalhos,6.12,9.045226130653267,8.16,11.4
ALTO MINHO,Pinheiro0manso,0.18,0.2660360626662725,0.05,0.1
ALTO MINHO,Castanheiro,0.13,0.19213715637008574,0.23,0.3
ALTO MINHO,Alfarrobeira,0.0,0.0,0.0,0.0
ALTO MINHO,Acácias,0.3,0.44339343777712087,0.43,0.6
ALTO MINHO,Outras folhosas,10.73,15.858705291161693,11.73,16.3
ALTO MINHO,Outras resinosas,0.7,1.0345846881466154,0.78,1.1
ALTO MINHO,STD s/espécie*,1.88,2.7785988767366243,0.63,0.9
ALTO MINHO,total,67.64,99.97044043748153,71.85,100.0
ALTO TÂMEGA,Pinheiro0bravo,38.79,56.83516483516483,39.54,55.7
ALTO TÂMEGA,Eucaliptos,0.85,1.2454212454212454,0.97,1.4
ALTO TÂMEGA,Sobreiro,0.0,0.0,0.0,0.0
ALTO TÂMEGA,Azinheira,0.0,0.0,0.0,0.0
ALTO TÂMEGA,Carvalhos,6.82,9.992673992673993,6.92,9.7
ALTO TÂMEGA,Pinheiro0manso,0.03,0.04395604395604395,0.03,0.0
ALTO TÂMEGA,Castanheiro,7.68,11.252747252747252,8.63,12.2
ALTO TÂMEGA,Alfarrobeira,0.0,0.0,0.0,0.0
ALTO TÂMEGA,Acácias,0.15,0.21978021978021978,0.12,0.2
ALTO TÂMEGA,Outras folhosas,10.96,16.05860805860806,11.91,16.8
ALTO TÂMEGA,Outras resinosas,2.8,4.102564102564102,2.5,3.5
ALTO TÂMEGA,STD s/espécie*,0.17,0.2490842490842491,0.35,0.5
ALTO TÂMEGA,total,68.24,99.98534798534799,70.97,100.0
ÁREA METROPOLITANA DO PORTO,Pinheiro0bravo,9.11,10.958739323950441,11.63,14.0
ÁREA METROPOLITANA DO PORTO,Eucaliptos,67.69,81.42668110188862,63.78,76.8
ÁREA METROPOLITANA DO PORTO,Sobreiro,0.0,0.0,0.0,0.0
ÁREA METROPOLITANA DO PORTO,Azinheira,0.0,0.0,0.0,0.0
ÁREA METROPOLITANA DO PORTO,Carvalhos,0.33,0.39696860339227724,0.65,0.8
